ord	mouza	village	VILLAGE	di	long	lat	Best.Longitude	Best.Latitude	BAMvill[, 12]
196	63731	6373110	Manikpur	19	90,68969279	23,7297379	90,68969279	23,6937379	Mouza loc
197	63731	6373111	Aganagar	23	90,68969279	23,7297379	90,68969279	23,7297379	Mouza loc
198	63731	6373112	Champaknagar	40	90,68969279	23,7297379	90,67331175	23,7259434	lat long all
199	63731	6373113	Baher Char	85	90,68969279	23,7297379	90,68969279	23,7267379	Mouza loc
200	63731	6373114	Tataytala	55	90,68969279	23,7297379	90,67396493	23,72137921	Vill Loc for Lex1
201	63731	6373115	Nayanabad	114	90,68969279	23,7297379	90,67659127	23,71835786	Vill Loc for Lex1
202	63731	6373116	Lalnagar	80	90,68969279	23,7297379	90,68969279	23,6997379	Mouza loc
203	63731	6373117	Najarpura	19	90,68969279	23,7297379	90,68969279	23,6877379	Mouza loc
204	63731	6373118	Islampur	28	90,68969279	23,7297379	90,67360942	23,70774705	Vill Loc for Lex1
205	63731	6373119	Hoglakanda	40	90,68969279	23,7297379	90,68969279	23,7177379	Mouza loc
206	63731	6373120	Khagkanda	114	90,68969279	23,7297379	90,69442268	23,72094972	Vill Loc for Lex1
207	63731	6373121	Khagkanda Naya Para	33	90,68969279	23,7297379	90,68612852	23,71323494	lat long all
208	63731	6373122	Tatuakanda (Kha)	75	90,68969279	23,7297379	90,68643077	23,73234682	lat long all
209	63731	6373123	Jalarpar Kanda Para	3	90,68969279	23,7297379	90,68969279	23,7117379	Mouza loc
210	63898	6389801	Aguandi Shobhrampur	70	NA	NA	NA	NA	
211	71010	7101001	Aguandi	135	90,7024422	23,75887487	90,7024422	23,75887487	Mouza loc
212	71236	7123601	Chhitkerkandi	18	90,68211814	23,7721887	90,68211814	23,7721887	Mouza loc
213	71397	7139701	Gaherdi	242	90,70169223	23,76577574	90,70169223	23,76577574	Mouza loc
214	71484	7148401	Jogardia	168	90,684743	23,76870341	90,684743	23,76870341	Mouza loc
215	71489	7148901	Jogardia Khas	3	90,68616794	23,76563633	90,68616794	23,76563633	Mouza loc
216	71537	7153701	Uttarpara	136	90,67986825	23,7773469	90,67588342	23,78197567	lat long all
217	71537	7153702	Molla Para	51	90,67986825	23,7773469	90,67986825	23,7653469	Mouza loc
218	71537	7153703	Balia Para	162	90,67986825	23,7773469	90,67986825	23,7773469	Mouza loc
219	71537	7153704	Gang Para	32	90,67986825	23,7773469	90,66844353	23,77134194	lat long all
220	71537	7153705	Bhiti Para	20	90,67986825	23,7773469	90,67986825	23,7743469	Mouza loc
221	71537	7153706	Goas Para	45	90,67986825	23,7773469	90,67986825	23,7683469	Mouza loc
222	71575	7157501	Khaser Kandi	71	90,70409211	23,78250511	90,70409211	23,78250511	Mouza loc
223	71580	7158001	Khirdasdi	146	90,69344261	23,77455867	90,69344261	23,77455867	Mouza loc
224	71650	7165001	Mahmudpur	73	90,69824238	23,78173835	90,69824238	23,78173835	Mouza loc
225	71672	7167201	Mardasdi	70	90,69029277	23,76507868	90,69029277	23,76507868	Mouza loc
226	71699	7169901	Muluksahadi	31	90,68774286	23,75866576	NA	NA	
227	71790	7179001	Raghunathpur	21	90,67154363	23,78083219	90,67154363	23,78083219	Mouza loc
228	71844	7184401	Salamdi	243	90,6998173	23,77407072	90,6998173	23,77407072	Mouza loc
229	71908	7190801	Sreenibasdi	305	90,69044275	23,77741661	90,69044275	23,77741661	Mouza loc
230	79123	7912301	Bara Sadasardi	204	90,69276764	23,78501453	90,69276764	23,78501453	Mouza loc
231	79317	7931701	Dairadir Char	177	90,71504163	23,79651596	90,71504163	23,79651596	Mouza loc
232	79414	7941401	Gopaldi	351	90,71354169	23,805508	90,71354169	23,805508	Mouza loc
233	79414	7941402	Ulukandi	540	90,71354169	23,805508	90,71354169	23,802508	Mouza loc
234	79446	7944601	Jalakandi	318	90,69314265	23,79484304	90,69314265	23,79484304	Mouza loc
235	79596	7959601	Kanda Para	47	90,70589206	23,805508	90,70589206	23,805508	Mouza loc
236	79596	7959602	Muradpur	53	90,70589206	23,805508	90,70589206	23,799508	Mouza loc
237	79596	7959603	Lakshmibardi	310	90,70589206	23,805508	90,70589206	23,802508	Mouza loc
238	79688	7968801	Mollar Char	239	90,69276764	23,81958855	90,69276764	23,81958855	Mouza loc
239	79709	7970901	Nagardaukadi	222	90,68571798	23,82530445	90,68571798	23,82530445	Mouza loc
240	79779	7977901	Pathanerkandi	41	90,68744289	23,82223738	90,68744289	23,82223738	Mouza loc
241	79795	7979501	Ramchandradi	565	90,70349213	23,78787247	90,70349213	23,78787247	Mouza loc
242	79817	7981701	Ratnagardi	49	90,70071729	23,79784037	90,70071729	23,79784037	Mouza loc
243	79817	7981702	Sonakanda	110	90,70071729	23,79784037	90,70071729	23,79484037	Mouza loc
244	79839	7983901	Sasasardi	67	90,70926688	23,81087536	90,70926688	23,80787536	Mouza loc
245	79839	7983902	Kamalapur	22	90,70926688	23,81087536	90,70926688	23,81087536	Mouza loc
246	79957	7995701	Toksadi	92	90,7126417	23,79735246	90,7126417	23,79735246	Mouza loc
247	79994	7999401	Uttar Kalagachhia	128	90,69974231	23,81254828	90,69974231	23,79754828	Mouza loc
248	79994	7999402	Kalagachhia	141	90,69974231	23,81254828	90,69974231	23,80954828	Mouza loc
249	79994	7999403	Kalamiarkandi	31	90,69974231	23,81254828	90,69974231	23,80654828	Mouza loc
250	79994	7999404	Hoglakandi	63	90,69974231	23,81254828	90,69974231	23,81254828	Mouza loc
251	79994	7999405	Rishi Para	45	90,69974231	23,81254828	90,69974231	23,80054828	Mouza loc
252	79994	7999406	Naya Para	18	90,69974231	23,81254828	90,67348849	23,71009196	Vill Loc for Lex1
253	87118	8711801	Matail	164	90,63476506	23,84046875	90,63476506	23,84046875	Mouza loc
254	87118	8711802	Noagaon	215	90,63476506	23,84046875	90,63476506	23,83746875	Mouza loc
255	87118	8711803	Tekpara	274	90,63476506	23,84046875	90,63476506	23,82846875	Mouza loc
256	87118	8711804	Purinda	276	90,63476506	23,84046875	90,63476506	23,83146875	Mouza loc
257	87118	8711805	Noangar	17	90,63476506	23,84046875	90,63476506	23,83446875	Mouza loc
258	87204	8720401	Chairgaon	117	90,64476136	23,8709375	90,64476136	23,8709375	Mouza loc
259	87285	8728501	Dakshin Swarupaba	73	90,64569219	23,85412326	90,64569219	23,85412326	Mouza loc
260	87338	8733801	Deabai	123	90,64322347	23,85720775	90,64322347	23,85720775	Mouza loc
261	87338	8733802	Kapaliar Tek	30	90,64322347	23,85720775	90,64322347	23,85420775	Mouza loc
262	87769	8776901	Sunpara	140	90,61367975	23,82636285	90,61367975	23,79936285	Mouza loc
263	87769	8776902	Maiz Para	94	90,61367975	23,82636285	90,61367975	23,81136285	Mouza loc
264	87769	8776903	Ghosh Para	28	90,61367975	23,82636285	90,61367975	23,81736285	Mouza loc
265	87769	8776904	Nama Para	46	90,61367975	23,82636285	90,61367975	23,80836285	Mouza loc
266	87769	8776905	Khan Para	32	90,61367975	23,82636285	90,61367975	23,81436285	Mouza loc
